Categories,#Labels,#LabelStates
type,810,1535238
status,3890,435907
topic,9652,252056
"status,type",1173,79340
priority,1310,59219
unknown,1577,40802
dev,579,31937
complex,1205,28637
env,510,21414
"type,type",130,20239
"topic,type",1079,19789
"priority,type",503,19190
version,537,12072
"status,status",715,8019
"status,topic",1142,5553
"type,unknown",117,3381
"priority,status",506,3108
"dev,type",113,3084
"env,type",80,2976
"topic,topic",519,2875
"status,unknown",141,2280
"priority,topic",404,1559
"complex,type",86,1316
"type,version",67,1285
"complex,status",147,1014
"env,status",115,819
"env,topic",94,813
"topic,unknown",145,673
"dev,status",138,654
"complex,topic",88,575
"priority,status,type",55,463
"status,status,type",69,442
"dev,topic",98,426
"status,status,topic",52,360
"status,version",75,346
"priority,priority",104,335
"priority,unknown",53,255
"complex,complex",15,252
"priority,priority,type",13,233
"status,topic,type",64,221
"priority,topic,type",31,214
"complex,priority",49,202
"dev,priority",53,189
"status,topic,unknown",12,176
"topic,version",43,151
"complex,unknown",12,147
"complex,complex,complex",1,138
"priority,status,status",38,137
"status,type,type",19,136
"unknown,unknown",31,126
"env,env",23,126
"topic,topic,version",8,116
"dev,type,unknown",5,108
"priority,status,topic",37,98
"topic,topic,type",34,95
"dev,env",14,93
"dev,type,version",4,91
"topic,topic,topic",15,91
"priority,version",21,90
"dev,dev",18,90
"priority,type,type",9,87
"status,topic,topic",34,80
"env,status,type",13,80
"env,priority",22,78
"complex,version",9,68
"status,status,status",23,62
"unknown,version",12,61
"dev,version",6,51
"version,version",16,48
"topic,type,unknown",14,44
"dev,unknown",17,43
"priority,topic,topic",17,39
"complex,priority,status",9,34
"dev,status,type",7,30
"status,type,unknown",12,30
"env,topic,topic",3,29
"dev,topic,topic",5,28
"complex,env",14,28
"complex,topic,type",3,25
"priority,status,unknown",4,25
"complex,complex,topic",5,24
"complex,topic,topic",5,23
"type,type,type",2,23
"complex,complex,topic,type",1,22
"priority,priority,status",3,22
"env,unknown",9,19
"priority,priority,status,type",5,19
"env,env,topic",3,18
"dev,priority,type",3,18
"complex,priority,topic",7,16
"complex,complex,complex,topic,type",1,16
"complex,complex,type",1,16
"complex,complex,complex,type",1,15
"status,unknown,version",3,15
"complex,complex,complex,topic",2,13
"env,version",5,12
"complex,status,topic",7,11
"status,type,version",3,11
"topic,topic,unknown",2,10
"priority,type,unknown",1,10
"status,status,topic,topic",6,10
"priority,priority,topic",7,10
"status,status,topic,type",5,9
"priority,priority,status,status,type",3,9
"status,topic,topic,type",3,9
"complex,priority,status,status",2,9
"type,unknown,unknown",4,9
"priority,status,status,status",3,8
"complex,priority,status,status,status,status",1,8
"topic,type,version",6,8
"status,status,unknown",2,8
"env,status,status",2,7
"dev,priority,status",3,7
"complex,complex,status",3,7
"dev,priority,version",2,7
"dev,dev,type",2,7
"complex,priority,priority,type",2,7
"complex,dev",4,7
"complex,priority,priority",6,7
"dev,priority,topic",5,6
"complex,status,type",5,6
"priority,topic,topic,topic,type",1,6
"complex,type,type",2,6
"priority,priority,type,type,version",1,6
"dev,status,topic",2,6
"status,status,version",2,6
"complex,status,status",5,6
"topic,topic,topic,version",2,5
"type,unknown,version",1,5
"dev,topic,version",1,5
"status,topic,version",5,5
"env,status,topic",3,5
"priority,status,status,topic",2,4
"priority,topic,topic,topic",2,4
"complex,complex,status,status,status",2,4
"priority,status,version",2,4
"complex,status,status,status",2,4
"priority,topic,unknown",3,4
"topic,type,type",3,4
"priority,status,topic,type",2,4
"dev,topic,type",3,4
"complex,priority,priority,topic",2,4
"type,type,unknown",1,4
"status,status,topic,unknown",2,3
"env,status,status,topic",1,3
"complex,env,type",2,3
"complex,env,status",3,3
"topic,unknown,version",2,3
"complex,complex,complex,priority,type",1,3
"type,version,version",1,3
"complex,complex,complex,priority",2,3
"priority,priority,type,type",2,3
"dev,env,status",2,3
"complex,complex,priority,type",1,3
"priority,topic,version",1,3
"topic,topic,topic,topic",3,3
"version,version,version",1,3
"dev,topic,type,unknown",1,3
"complex,complex,priority",2,3
"complex,priority,type",1,3
"priority,priority,status,topic",2,2
"status,topic,type,unknown,version",1,2
"dev,priority,status,status",1,2
"topic,topic,type,unknown",2,2
"status,topic,type,unknown",2,2
"priority,type,version",2,2
"env,priority,topic",1,2
"priority,priority,priority",2,2
"dev,type,type",1,2
"dev,status,status",2,2
"topic,topic,topic,type",2,2
"status,type,unknown,unknown",1,2
"env,env,type",2,2
"topic,type,unknown,version",1,2
"complex,dev,topic",1,2
"complex,dev,status",2,2
"env,env,env",1,2
"complex,status,unknown",2,2
"status,topic,unknown,unknown",1,2
"dev,priority,topic,topic",1,2
"complex,status,type,type",2,2
"priority,topic,topic,type",2,2
"complex,priority,topic,topic",1,1
"unknown,unknown,unknown",1,1
"env,topic,unknown",1,1
"complex,status,topic,type",1,1
"complex,complex,topic,topic,topic",1,1
"status,status,topic,topic,unknown",1,1
"env,topic,type,unknown",1,1
"complex,env,topic",1,1
"status,unknown,unknown",1,1
"priority,priority,status,status,topic,type",1,1
"complex,priority,status,topic",1,1
"priority,priority,status,status",1,1
"status,status,topic,topic,topic",1,1
"env,topic,type",1,1
"dev,status,topic,unknown",1,1
"complex,topic,version",1,1
"dev,priority,priority",1,1
"complex,status,status,unknown",1,1
"complex,complex,status,status,status,type",1,1
"priority,priority,status,status,status,type",1,1
"env,topic,topic,version",1,1
"complex,topic,unknown",1,1
"complex,env,priority",1,1
"env,priority,status,type",1,1
"complex,status,status,type,type",1,1
"complex,priority,status,status,status",1,1
"topic,topic,topic,unknown",1,1
"status,topic,topic,topic",1,1
"complex,env,env",1,1
"status,type,unknown,version",1,1
"complex,status,status,type",1,1
"complex,complex,complex,env,env",1,1
"status,status,status,type",1,1
"complex,topic,topic,topic",1,1
"complex,status,status,status,type",1,1
"priority,status,type,type",1,1
"status,status,status,topic",1,1
"priority,priority,topic,version",1,1
"env,status,unknown",1,1
"complex,complex,priority,topic",1,1
"priority,priority,topic,type",1,1
"dev,dev,priority,version",1,1
"complex,complex,priority,status,status,status",1,1
"dev,priority,topic,type",1,1
"priority,topic,topic,version",1,1
"env,type,unknown",1,1
"dev,topic,topic,type",1,1
"env,status,status,type",1,1
"complex,complex,env,env",1,1
